Accession,ageGroup
SRR31654314,youngOld
SRR31654324,youngOld
SRR31654305,youngOld
SRR31654343,middleOld
SRR31654339,middleOld
SRR31654352,middleOld
SRR31654355,middleOld
SRR31654385,longlivedOld
SRR31654365,longlivedOld
SRR31654382,longlivedOld
